name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Why Oh Why,7,108707,0,2008-02-11,0.346,0.822,4,-7.598,1,0.0348,0.00118,0.0,0.125,0.862,101.293,4,44.12282943725586,36.966529846191406,-55.84367370605469,65.79562377929688,-67.22732543945312,6.6593451499938965,14.120149612426758,2.5687429904937744,-54.06327819824219,18.676250457763672,5.91588830947876,46.35261917114258,-14.09492015838623,60.433441162109375,33.88428497314453,61.24190902709961,30.242660522460938,11.75635814666748,-40.50607299804688,-42.2728157043457,10.609243392944336,32.24525833129883,0.8934834599494934,61.56901550292969,-63.8185920715332,126.64901733398438,-61.898048400878906,87.10032653808594,81.50611877441406,17.558948516845703,17.280868530273438,20.749229431152344,-16.42778205871582,52.07157897949219,1.5609726905822754,26.345083236694336,143.7190704345703,-64.84527587890625,-8.874866485595703,97.52106475830078,24.193532943725582,-40.07001876831055,34.3962516784668,-18.99997901916504,8.697941780090332,17.121952056884766,45.4219970703125,-77.98810577392578,109.73770141601562,7.431117534637451,-23.540096282958984,-14.695609092712402,16.482820510864258,-146.9952850341797,-19.568172454833984,-73.92811584472656,0.5981556177139282,-37.1809196472168,26.15676498413086,61.6030502319336,-33.73675537109375,-5.372637271881104,-45.40766906738281,42.548561096191406,-13.736586570739746,-63.172096252441406,-57.62712097167969,14.098487854003906,-39.64925765991211,-32.992401123046875,-71.95037078857422,29.50778007507324,-43.84475326538086,-36.46099472045898,-4.17240571975708,-7.327093124389648,42.60236740112305,-6.514965057373047,-5.588814735412598,18.81245803833008,15.148693084716797,-96.00919342041016,-11.44721508026123,27.592662811279297,41.201171875,-33.35932922363281,-2.1738524436950684,30.998680114746094,-30.91178703308105,14.22162628173828,53.58892440795898,54.34912872314453,-7.643607139587402,46.38325119018555,86.36925506591797,-60.67386245727539,-3.371478080749512,-15.76567268371582,33.17485809326172,4.418029308319092
Seni Anan Benim Için Doğurmuş,51,248333,0,1999-06-07,0.753,0.814,6,-9.01,0,0.0633,0.478,0.0,0.0622,0.875,100.025,4,30.625225067138672,20.82033920288086,-39.73283004760742,42.479827880859375,-54.95375442504883,-4.39131498336792,15.548412322998049,0.5406985282897949,-40.0599479675293,17.916969299316406,6.582756042480469,23.067243576049805,-12.84471035003662,28.86085319519043,33.3479118347168,47.0919075012207,23.86966323852539,3.9522087574005127,-37.14425277709961,-27.213743209838867,9.49206256866455,25.392229080200195,-1.969316482543945,33.92963790893555,-46.956172943115234,85.97943115234375,-36.60198974609375,69.10652923583984,50.30123901367188,2.1792304515838623,4.5415449142456055,20.630294799804688,-12.844874382019045,43.86199188232422,5.646507263183594,19.23710250854492,98.80492401123048,-61.16856002807617,-6.960361480712891,62.23953628540039,20.069639205932617,-33.54905319213867,27.017730712890625,-9.417121887207031,9.766013145446776,1.9746053218841555,25.55567741394043,-51.87163543701172,74.58639526367188,2.6443021297454834,-21.931772232055664,-11.55903434753418,8.08675479888916,-98.05012512207033,-11.079731941223145,-52.375450134277344,-4.68431568145752,-29.42564392089844,14.82382106781006,50.49075698852539,-20.250661849975582,7.453622817993164,-35.383323669433594,15.29678440093994,-5.988227844238281,-38.29789733886719,-45.7907600402832,10.544148445129396,-18.413951873779297,-12.78281307220459,-42.94134140014648,27.80265235900879,-24.009180068969727,-19.72161102294922,-3.5000338554382324,6.319671154022217,42.85517120361328,-3.119643449783325,3.928645849227905,14.896876335144045,8.320645332336426,-62.45013046264648,-7.923059463500977,20.17045021057129,31.51144790649414,-18.47291374206543,5.075425624847412,20.484434127807617,-11.90959358215332,12.897256851196287,39.28190231323242,29.552806854248047,-1.0258504152297974,32.90341567993164,53.05864715576172,-45.11793899536133,-6.398067474365234,-15.475126266479492,15.641277313232422,7.042202472686768
Blow The Dust Off - 2021 Remaster,0,172093,0,2021-04-02,0.211,0.892,0,-1.555,1,0.0522,0.188,0.0,0.326,0.648,192.849,4,41.72265625,37.15314102172852,-55.0117301940918,65.05782318115234,-65.91255950927734,7.408921241760254,12.337447166442873,3.853055715560913,-53.422489166259766,18.955869674682617,5.455393314361572,44.72779083251953,-12.81204891204834,61.68247985839844,33.845298767089844,60.36327362060547,29.88251495361328,13.203106880187988,-40.90566635131836,-39.807315826416016,8.745208740234375,30.220361709594727,-0.1635001748800277,62.05159378051758,-61.58344650268555,124.5907211303711,-63.1058349609375,84.6102066040039,81.66250610351562,19.190235137939453,19.49630546569824,20.23817443847656,-13.203742980957031,53.6391716003418,-0.1483749002218246,25.50303649902344,141.52261352539062,-60.39476013183594,-9.392924308776855,93.44194793701172,25.85050201416016,-41.26634979248047,33.10538482666016,-20.925020217895508,7.160617828369141,16.090869903564453,45.45169448852539,-74.78102111816406,105.61003875732422,5.214104652404785,-20.77852249145508,-16.229082107543945,16.91031837463379,-145.06024169921875,-17.517074584960938,-74.71817779541016,2.956583023071289,-36.721923828125,25.47889709472656,60.87822341918945,-33.49319076538086,-7.842574119567871,-43.32014846801758,42.044166564941406,-15.81106948852539,-63.44636154174805,-54.59489440917969,15.511632919311523,-41.88907241821289,-31.189165115356445,-68.65577697753906,30.75483703613281,-41.7784538269043,-38.39606475830078,-4.387185096740723,-8.1766996383667,42.66487884521485,-8.191293716430664,-7.775166034698486,17.444011688232422,16.12209129333496,-95.0434799194336,-10.136465072631836,27.925085067749023,40.32643508911133,-30.91177558898925,-1.913573265075684,30.50008201599121,-33.950557708740234,10.947489738464355,51.50691986083984,52.943397521972656,-6.961019515991211,43.274940490722656,84.3023910522461,-61.12864685058594,-4.818987846374512,-15.891351699829102,33.43051528930664,4.575385570526123
Holidae In,61,314400,0,2003-01-01,0.81,0.791,7,-5.909,1,0.181,0.0893,0.0,0.0838,0.948,153.067,4,29.24627494812012,16.44439125061035,-33.71790313720703,44.34864044189453,-51.03533172607422,-8.028058052062988,7.56176233291626,1.1397961378097534,-45.0289421081543,31.898157119750977,4.045266151428223,11.720044136047363,-11.435302734375,20.173282623291016,28.27863883972168,45.844146728515625,23.56038856506348,5.235831737518311,-36.13988876342773,-28.893085479736328,6.4607133865356445,25.688865661621094,-1.3995842933654783,23.14230728149414,-43.74613952636719,77.07083129882812,-22.590051651000977,57.33395004272461,36.4048080444336,-14.021040916442873,-1.4952986240386963,18.48991203308105,-16.671464920043945,49.78097534179688,0.100857026875019,11.799480438232422,70.1251449584961,-65.90428161621094,-4.805908203125,52.77666473388672,22.379274368286133,-34.08632278442383,29.568437576293945,-1.721745848655701,9.908669471740724,2.705347776412964,19.40041732788086,-38.01335525512695,57.21421813964844,-4.323139190673828,-27.505800247192383,-15.434480667114258,-3.753389835357666,-77.77407836914062,-1.127938151359558,-43.2412338256836,-16.19758415222168,-30.23455238342285,11.460138320922852,50.303199768066406,-7.410970211029053,12.395580291748049,-34.791107177734375,11.442527770996094,-1.0596551895141602,-29.90572929382324,-49.77003860473633,5.769032001495361,-8.106466293334961,-8.596733093261719,-26.80400276184082,27.973535537719727,-6.598555564880371,-20.459688186645508,-3.833073139190674,15.99849796295166,47.08784866333008,-1.6230372190475464,17.738117218017578,13.900906562805176,1.924896001815796,-44.942378997802734,-4.990290641784668,15.03192138671875,38.27473449707031,-8.378859519958496,6.255026340484619,21.29066467285156,-2.546113967895508,11.684027671813965,32.59736251831055,20.19454574584961,4.291598796844482,37.77340316772461,39.33251190185547,-39.309112548828125,-4.565598487854004,-14.349793434143066,6.848427772521973,10.33358669281006
Love on sale(2005),2,258800,0,2005-02-28,0.59,0.659,10,-6.424,0,0.0284,0.00123,0.00067,0.0926,0.867,131.022,4,35.59477615356445,28.398679733276367,-52.177001953125,64.62114715576172,-54.47245407104492,11.43911075592041,3.1409478187561035,5.184370517730713,-51.9576301574707,13.186988830566406,4.17208194732666,39.470436096191406,-10.500967979431152,55.73698806762695,24.847562789916992,48.20996475219727,19.242637634277344,12.785866737365724,-32.63661193847656,-34.11032485961914,9.885358810424805,28.93222999572754,2.5274386405944824,56.37847137451172,-47.87083053588867,101.34447479248048,-57.4229850769043,68.7615737915039,63.404335021972656,20.55122947692871,25.814180374145508,16.25342559814453,-9.389720916748049,42.73424911499024,-1.0947117805480957,18.52328109741211,117.04710388183594,-39.95599365234375,-6.881924629211426,83.73023986816406,31.25088882446289,-40.11595153808594,27.42543029785156,-22.09822654724121,4.293156623840332,13.763957023620604,44.21773147583008,-62.143680572509766,88.79672241210938,2.3746612071990967,-17.33596420288086,-17.044357299804688,14.001873016357422,-123.76284790039062,-15.35846710205078,-65.57340240478516,1.1040433645248413,-22.840633392333984,28.300817489624023,54.37800598144531,-28.032529830932617,-16.714746475219727,-30.58163833618164,39.62571334838867,-17.57424545288086,-62.18609237670898,-47.54739761352539,12.573749542236328,-39.21867752075195,-31.71109962463379,-66.42118835449219,19.68752670288086,-35.74527359008789,-28.346494674682617,-8.949501991271973,-15.89219856262207,32.75642776489258,-15.734253883361816,-17.022743225097656,15.554917335510254,9.48824405670166,-84.40103149414062,-13.43036937713623,27.151443481445312,27.316774368286133,-28.78598976135254,-2.8184478282928467,33.01053237915039,-35.02073669433594,10.341599464416504,30.821796417236328,50.30208969116211,-10.561869621276855,38.6940803527832,71.8789291381836,-49.64942932128906,-4.707146644592285,-13.49919605255127,28.813554763793945,2.6140973567962646
Como Yo Nadie Te Ha Amado (This Ain't a Love Song),59,262333,0,2006-10-27,0.541,0.43,6,-7.491,1,0.0297,0.249,0.0,0.102,0.177,164.215,3,36.50565719604492,18.628814697265625,-44.040977478027344,54.86057662963867,-43.893165588378906,-5.782583236694336,14.658120155334473,3.2049152851104736,-25.40548515319824,12.910393714904783,6.20695686340332,24.95707321166992,-19.25618553161621,25.589252471923828,19.34653282165528,40.37576675415039,34.33095932006836,9.11554718017578,-27.747169494628903,-21.956764221191406,0.8902165293693542,39.99735641479492,-6.303856372833252,28.704288482666016,-38.51980209350586,66.93074798583984,-36.79570770263672,56.83765411376953,38.37564849853516,11.781987190246582,18.297775268554688,15.184316635131836,-10.409157752990724,33.62535858154297,-4.995621681213379,24.03672409057617,91.55867767333984,-40.839111328125,-0.0114516755566,61.26774215698242,8.12428092956543,-34.90676498413086,24.700279235839844,-6.317067623138428,10.71291160583496,7.781520366668701,24.00973320007324,-39.66965103149414,65.73258209228516,0.5746254324913025,-11.831345558166504,-19.03218650817871,3.770062923431397,-92.04268646240234,-9.308722496032717,-48.773624420166016,-4.4084577560424805,-21.32526969909668,20.291990280151367,43.64626693725586,-23.142578125,-6.522910118103027,-28.02906608581543,16.544469833374023,-8.360189437866211,-41.09777069091797,-53.80387115478516,2.596287965774536,-26.48989486694336,-20.73000717163086,-49.58607864379883,14.777277946472168,-18.006467819213867,-5.1320414543151855,-18.662240982055664,-10.737130165100098,32.99946594238281,-12.65310287475586,1.3395735025405884,27.82142448425293,14.160947799682615,-50.19310760498047,-26.73166847229004,22.880401611328125,23.43046188354492,-16.186979293823242,14.699798583984377,25.07938003540039,-11.872538566589355,6.257030010223389,28.17708206176757,26.37802124023437,1.862778782844544,26.60968017578125,47.51830673217773,-38.62328720092773,-17.5266056060791,-25.67890357971192,20.59062767028809,10.603723526000977
Je Sto Vicino A Te - Remastered 2008,10,222587,0,2008-01-01,0.659,0.764,11,-4.704,0,0.032,0.647,0.00517,0.0956,0.724,112.681,4,37.11383438110352,20.69607353210449,-39.075809478759766,67.62279510498047,-34.182716369628906,7.751237392425537,2.609532356262207,5.52266788482666,-29.125389099121094,14.474899291992188,1.690588355064392,36.38801574707031,-13.242241859436035,21.87409019470215,8.548367500305176,37.53197479248047,27.20574951171875,15.094762802124023,-21.4845027923584,-27.67628288269043,-0.5842139720916748,46.972904205322266,2.166722059249878,34.483577728271484,-28.31617927551269,64.8575668334961,-39.274227142333984,46.77532577514648,29.3312931060791,13.3165922164917,19.175556182861328,10.832968711853027,-15.115105628967283,23.397668838500977,-18.27898597717285,20.215700149536133,79.24148559570312,-20.730487823486328,-4.398998260498047,71.18321990966797,10.457930564880373,-29.190752029418945,17.317481994628906,-9.232033729553224,4.369509220123291,15.78297519683838,26.791358947753903,-42.36093521118164,67.00922393798828,3.548011064529419,-9.447071075439451,-21.230802536010746,13.999053955078123,-90.12400817871094,-4.680717468261719,-44.838905334472656,-10.676697731018066,-14.423940658569336,28.429298400878903,34.6290397644043,-11.274127006530762,-24.67595672607422,-25.901994705200195,26.816802978515625,-8.460587501525879,-50.41569519042969,-46.62104797363281,3.956156730651856,-39.19917297363281,-28.7072811126709,-56.94601821899414,11.27218532562256,-25.16775703430176,-14.840567588806152,-17.070472717285156,-24.38746452331543,16.493268966674805,-12.051119804382324,-5.194471836090088,24.18704414367676,17.846904754638672,-49.96806716918945,-28.386943817138672,21.08213996887207,22.16808319091797,-15.489294052124023,9.374834060668944,23.554920196533203,-11.075088500976562,-0.5287166237831116,15.34828281402588,25.912431716918945,-0.2831008434295654,29.27734565734864,48.02943420410156,-30.824169158935547,-9.88890552520752,-20.300840377807617,26.755565643310547,7.445898056030273
La Gran Señora,66,252440,0,2009-12-01,0.623,0.398,0,-5.804,1,0.0457,0.605,0.0,0.125,0.754,80.115,3,25.894105911254883,20.5375919342041,-30.59295463562012,41.6922492980957,-35.8602180480957,-4.5452189445495605,11.554993629455566,0.2442452311515808,-22.64306640625,14.37050437927246,4.0084757804870605,18.53426170349121,-15.47490119934082,16.4670467376709,15.324767112731934,35.6754264831543,27.2666072845459,5.281088829040527,-25.303979873657227,-21.00379180908203,-0.0757296755909919,32.256004333496094,-1.9181697368621824,20.726770401000977,-31.829259872436523,57.438419342041016,-25.83490943908692,44.32171249389648,25.9703426361084,2.6723639965057373,6.895035266876221,11.871150970458984,-14.048800468444824,25.68091011047364,-7.433164119720459,17.879602432250977,65.65564727783203,-41.12385559082031,-4.345880508422852,50.16807174682617,2.839782476425171,-26.008684158325195,19.1415958404541,-1.461330533027649,9.916818618774414,3.5036699771881104,15.931992530822754,-33.4707145690918,56.614845275878906,3.017885446548462,-9.514506340026855,-12.239123344421388,2.279928684234619,-70.71934509277344,-5.13899040222168,-36.53520202636719,-7.877523422241211,-18.064281463623047,16.729145050048828,34.949485778808594,-16.112957000732422,-5.295210361480713,-26.338319778442383,12.232022285461426,-2.52736234664917,-29.3031005859375,-42.27592849731445,0.7901493906974792,-19.32848358154297,-12.0881929397583,-36.91038513183594,13.75988483428955,-15.757956504821776,-8.2169189453125,-9.547582626342772,-1.960144519805908,25.645496368408203,-4.329325675964356,6.148601531982422,18.732425689697266,12.020593643188477,-38.1936149597168,-20.489484786987305,17.800851821899414,22.263898849487305,-10.620599746704102,13.88542938232422,16.37519073486328,-1.0273557901382446,5.142908096313477,25.68994140625,17.881696701049805,1.3781312704086304,23.422462463378903,33.52921295166016,-30.749391555786133,-10.587170600891112,-19.308013916015625,16.645034790039062,6.173049449920654
If Only You'd Reply - Mono; 2009 Remaster,0,165667,0,2009-04-06,0.565,0.963,9,-3.213,1,0.118,0.716,0.0,0.0924,0.837,110.444,4,36.20188903808594,36.50329208374024,-53.00389862060547,61.3095588684082,-63.33648681640625,11.764509201049805,11.838356018066406,0.1027026325464248,-55.706634521484375,17.58452606201172,5.307565689086914,48.39093780517578,-14.002307891845703,56.89281845092773,31.924280166625977,59.07004165649414,23.54200935363769,14.326641082763672,-38.444374084472656,-40.56686782836914,12.265996932983398,29.36031150817871,2.564467430114746,63.08221054077149,-56.91154861450195,121.2912139892578,-60.9233627319336,84.26688385009766,78.09078979492188,19.059005737304688,15.680240631103516,17.92966651916504,-16.202350616455078,44.76708984375,1.3449342250823977,23.45721244812012,137.91390991210938,-55.65263748168945,-10.854050636291504,98.03040313720705,26.607534408569336,-35.97426986694336,30.171794891357425,-21.494335174560547,5.7915472984313965,15.16716194152832,47.13468551635742,-75.99066162109375,107.53515625,10.523791313171388,-20.22337913513184,-12.071585655212402,22.264408111572266,-141.52122497558594,-20.061857223510746,-71.19817352294922,3.099684476852417,-31.86754608154297,28.30533027648925,56.55656051635742,-31.178192138671875,-9.271499633789062,-41.58447647094727,41.819705963134766,-14.215618133544922,-65.19903564453125,-47.62500762939453,15.422499656677246,-41.5226936340332,-31.51558494567871,-71.97289276123047,26.923154830932617,-49.31666564941406,-36.754005432128906,-2.707520008087158,-11.745162010192873,38.41911697387695,-5.951528072357178,-10.16334342956543,13.93540859222412,14.188297271728516,-98.12734985351562,-12.78400421142578,25.621400833129883,36.44852828979492,-33.51822662353516,-2.668487310409546,28.927026748657227,-33.367897033691406,12.841911315917969,48.01567077636719,56.4303092956543,-9.796042442321776,41.51033401489258,85.25009155273438,-58.94911956787109,-1.5804716348648071,-10.610085487365724,31.11001205444336,2.492302417755127
Who's That Chick? (feat. Rihanna),69,201040,0,2010-11-22,0.675,0.602,11,-4.733,0,0.116,0.00377,0.0,0.0458,0.933,127.938,4,44.92316818237305,30.7042236328125,-45.81357192993164,63.24250030517578,-61.4555549621582,-4.550196647644043,12.332383155822754,3.455796718597412,-42.71433639526367,29.12640953063965,5.02897834777832,29.992935180664062,-15.0756254196167,40.81611251831055,26.56708335876465,56.077598571777344,41.39684295654297,9.954004287719728,-39.23047637939453,-34.619178771972656,0.1316122412681579,39.47617721557617,-0.7235204577445984,40.40567779541016,-57.01311111450195,103.8415985107422,-44.0930290222168,69.40632629394531,57.20200729370117,2.3547611236572266,9.180479049682615,20.28039932250977,-20.190832138061523,55.10976409912109,-9.541348457336426,24.11631774902344,107.3656234741211,-69.62279510498047,-5.84060525894165,74.41039276123047,11.970532417297363,-40.90326690673828,33.73594665527344,-4.129206657409668,8.818532943725586,12.129995346069336,27.584508895874023,-57.316688537597656,85.7159423828125,-1.3058712482452393,-22.70600700378418,-19.8857364654541,5.062504768371582,-114.8678207397461,-4.904562950134277,-62.2992057800293,-13.543985366821287,-39.28813171386719,19.954254150390625,55.68107223510742,-23.42287826538086,-3.102907657623291,-43.474876403808594,27.37542152404785,-4.729473114013672,-45.4337158203125,-65.5205307006836,4.99923038482666,-29.44074058532715,-22.917537689208984,-50.07853317260742,29.383413314819336,-20.863460540771484,-28.19620704650879,-8.312865257263184,5.1833014488220215,43.6634635925293,-5.954695224761963,13.972784042358398,24.212934494018555,17.06703758239746,-63.33306121826172,-15.019109725952148,23.843564987182617,44.92675018310547,-17.73090171813965,10.511686325073242,26.146915435791016,-10.714495658874512,8.937112808227539,44.913185119628906,29.611225128173828,5.432698726654053,43.41696548461914,59.408485412597656,-49.62059783935547,-10.06036376953125,-24.345834732055664,26.554357528686523,9.817133903503418
